sha,ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
Q38,10K,2013,03,160950.0,8763.0,203511.55999999994,23.22395983110806
Q38,10L,2013,03,117428.0,6720.0,160189.51000000004,23.837724702380957
Q38,10M,2013,03,89777.0,3572.0,83180.88,23.286920492721165
Q38,10N,2013,03,84359.0,3567.0,83540.56999999999,23.42040089711242
Q38,10Q,2013,03,548978.0,24080.0,592267.5499999999,24.59582848837209
Q38,10R,2013,03,171378.0,8414.0,196550.2800000001,23.35990967435228
Q38,10T,2013,03,103562.0,7765.0,169325.83,21.80628847392144
Q38,10V,2013,03,168161.0,9562.0,220640.03,23.0746737084292
Q38,10W,2013,03,100369.0,4261.0,103637.09,24.32224595165454
Q38,10X,2013,03,213671.0,10428.0,261035.7,25.032192174913696
Q38,10Y,2013,03,156171.0,7601.0,184134.05,24.224976976713588
Q38,11A,2013,03,437677.0,20904.0,554886.6400000001,26.54451970914658
Q38,11C,2013,03,119827.0,5537.0,138651.95999999996,25.040989705616752
Q38,11D,2013,03,122029.0,4965.0,114375.91999999998,23.0364390735146
Q39,11E,2013,03,159904.0,6968.0,168304.87999999998,24.15397244546498
Q39,11H,2013,03,376986.0,16988.0,409502.98999999993,24.105426771838943
Q39,11J,2013,03,619106.0,33342.0,835794.7699999999,25.067325595345206
Q39,11M,2013,03,496709.0,28502.0,613365.5800000004,21.52008911655324
Q39,11N,2013,03,453574.0,24704.0,582732.9299999998,23.588606298575122
Q39,11T,2013,03,170640.0,8910.0,221922.25999999998,24.907099887766552
Q39,11X,2013,03,438437.0,24405.0,567658.8700000003,23.259941405449716
Q39,12A,2013,03,204972.0,9937.0,261834.83000000002,26.349484753949884
Q39,12D,2013,03,172928.0,9539.0,251401.71,26.355143096760667
Q31,12F,2013,03,267463.0,16018.0,341860.95,21.342299288300662
Q34,13P,2013,03,541399.0,34308.0,988909.3799999992,28.82445435466944
Q31,99A,2013,03,396128.0,21579.0,529126.1699999999,24.520421242875013
Q30,99C,2013,03,175585.0,10420.0,240985.38,23.127195777351247
Q33,99D,2013,03,126824.0,7786.0,218288.72999999995,28.036055741073717
Q35,99E,2013,03,207630.0,11082.0,280609.48999999993,25.321195632557295
Q35,99F,2013,03,144540.0,8329.0,205266.23000000004,24.644762876695886
Q35,99G,2013,03,144959.0,7842.0,189596.46999999994,24.177055598061713
Q37,99H,2013,03,226936.0,9905.0,261912.7599999999,26.442479555779897
Q37,99J,2013,03,362243.0,17766.0,469714.75999999983,26.438971068332762
Q37,99K,2013,03,132882.0,6554.0,161170.18999999997,24.591118400976498
Q37,99M,2013,03,36809.0,1607.0,45689.549999999996,28.431580584940882
Q38,99M,2013,03,133952.0,6564.0,191035.97999999998,29.103592321755023
Q39,99N,2013,03,362681.0,18353.0,507249.11999999994,27.638485261265185
Q39,99P,2013,03,722197.0,37713.0,827022.5700000003,21.929376342375317
Q39,99Q,2013,03,234969.0,13203.0,304567.77,23.06807316518973
